AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"EMPRESA EST. DEPENDENTES",2009,11,0.00,0.00,9441324.60,64221890.95,,1
"FUNDOS",2009,11,0.00,0.00,443896843.97,3393118754.73,,1
"ADMINISTRACAO DIRETA",2009,12,0.00,300175492.94,3700905124.47,34378727436.63,,1
"ADMINISTRACAO INDIRETA",2009,12,0.00,15263280.44,366221929.89,2534400297.23,,1
"EMPRESA EST. DEPENDENTES",2009,12,0.00,107670.00,13868299.40,78090190.35,,1
"FUNDOS",2009,12,0.00,12092360.01,178360954.39,3571479709.12,,1
"ADMINISTRACAO DIRETA",2010,1,36196564564.00,36254480886.00,3607948171.40,3607948171.40,,1
"ADMINISTRACAO INDIRETA",2010,1,2517951734.00,2537534271.00,98652252.49,98652252.49,,1
"EMPRESA EST. DEPENDENTES",2010,1,91695662.00,91695662.00,6102070.00,6102070.00,,1
"FUNDOS",2010,1,3945441841.00,4009806336.00,408295004.64,408295004.64,,1
"ADMINISTRACAO DIRETA",2010,2,0.00,1509393.00,2802731731.00,6410679902.40,,1
"ADMINISTRACAO INDIRETA",2010,2,0.00,43112902.00,242939328.04,341591580.53,,1
"EMPRESA EST. DEPENDENTES",2010,2,0.00,503000.00,5946982.97,12049052.97,,1
"FUNDOS",2010,2,0.00,4315508.00,212181235.00,620476239.64,,1
"ADMINISTRACAO DIRETA",2010,3,0.00,50628506.00,2956610167.13,9367290069.53,,1
"ADMINISTRACAO INDIRETA",2010,3,0.00,10411950.00,183519691.93,525111272.46,,1
"EMPRESA EST. DEPENDENTES",2010,3,0.00,0.00,4652921.10,16701974.07,,1
"FUNDOS",2010,3,0.00,621623.00,378066361.20,998542600.84,,1
"ADMINISTRACAO DIRETA",2010,4,0.00,30010.00,3062242455.73,12429532525.26,,1
"ADMINISTRACAO INDIRETA",2010,4,0.00,15729004.00,256506219.36,781617491.82,,1
"EMPRESA EST. DEPENDENTES",2010,4,0.00,0.00,5043973.62,21745947.69,,1
"FUNDOS",2010,4,0.00,0.00,313521641.19,1312064242.03,,1
"ADMINISTRACAO DIRETA",2010,5,0.00,283135971.00,2849907257.15,15279439782.41,,1
"ADMINISTRACAO INDIRETA",2010,5,0.00,5602513.00,234640316.64,1016257808.46,,1
"EMPRESA EST. DEPENDENTES",2010,5,0.00,0.00,7157889.63,28903837.32,,1
"FUNDOS",2010,5,0.00,0.00,334527319.56,1646591561.59,,1
"ADMINISTRACAO DIRETA",2010,6,0.00,24679930.00,3140514423.44,18419954205.85,,1
"ADMINISTRACAO INDIRETA",2010,6,0.00,157610.00,182378886.31,1198636694.77,,1
"EMPRESA EST. DEPENDENTES",2010,6,0.00,0.00,7658648.14,36562485.46,,1
"FUNDOS",2010,6,0.00,2202500.00,301566866.37,1948158427.96,,1
"ADMINISTRACAO DIRETA",2010,7,0.00,15214664.00,2953893242.15,21373847448.00,,1
"ADMINISTRACAO INDIRETA",2010,7,0.00,101373495.00,325524456.82,1524161151.59,,1
